Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Thailand,2017,5.938895226,9.69754982,0.877268732,67,0.922896802,0.20539546,0.883816779,0.81632179,0.231597617,0.605078816,-0.902155161,0.045908973,2.243722439,0.377801329
Thailand,2018,6.011561871,9.734828949,0.873052418,67.19999695,0.90482825,0.251650214,0.906596005,0.843489408,0.198190212,0.605364442,,,2.105742693,0.350282133
Taiwan Province of China,2014,6.36349678,10.69936085,0.870011866,,0.692899764,0.083980627,0.865740597,0.848840654,0.108366139,0.270723104,0.824068308,1.166718841,1.806699514,0.283916146
Taiwan Province of China,2015,6.450088024,,0.885388851,,0.700810492,,0.857194841,0.831987083,0.129348695,0.270259619,0.90946269,1.169457197,1.828002334,0.28340736
Taiwan Province of China,2016,6.512850761,,0.894989252,,0.718925178,,0.810521007,0.83315289,0.108305417,0.404713333,0.967452168,1.169113874,1.964969754,0.301706553
Taiwan Province of China,2017,6.359450817,,0.891119123,,0.75965476,,0.742780089,0.837277293,0.114123158,0.322822392,0.951502562,1.185329676,1.869602203,0.293987989
Taiwan Province of China,2018,6.467004776,,0.896458745,,0.741032779,,0.735970736,0.848398566,0.092695646,0.311722934,,,1.69088614,0.261463553
Qatar,2015,6.374529362,11.6931572,,68.30000305,,,,,,,-0.074040085,0.823927343,2.25641799,0.353974044
Saudi Arabia,2014,6.27837801,10.81894684,0.818419814,65.19999695,0.762251675,-0.090502188,,0.705040038,0.312949479,,-1.083929062,0.105905496,2.549712896,0.406110138
Saudi Arabia,2015,6.345491886,10.83414841,0.819749713,65.40000153,0.820207238,-0.062835291,,0.723607719,0.327139378,,-1.234496951,0.098789915,2.518905163,0.396959782
Saudi Arabia,2016,6.473921299,10.8282032,0.889932334,65.69999695,0.774267733,-0.150336474,,0.792998552,0.266292661,,-1.096985221,0.224808708,2.070084572,0.319757462
Saudi Arabia,2017,6.294282436,10.80050182,0.840086281,66,0.814142168,-0.14906089,,0.7748757,0.305841893,,-1.148168445,0.177424327,2.508923054,0.398603499
Saudi Arabia,2018,6.356393337,10.79797173,0.867848396,66.30000305,0.85492152,-0.209563509,,0.764405489,0.288379908,,,,2.32445097,0.365687102
Kuwait,2014,6.180138588,11.16807175,,65.80000305,,,,,,,-0.254226625,-0.127895653,2.290534496,0.370628327
Kuwait,2015,6.146031857,11.13424301,0.823017776,66.09999847,0.821662426,0.049360745,,0.722893655,0.323691428,,-0.438526899,-0.1075624,2.28390336,0.371606171
Kuwait,2016,5.947194576,11.13985634,0.845222056,66.30000305,0.840967178,-0.107972071,,0.688287258,0.314922988,,-0.339310467,-0.117003053,2.360634089,0.396932393
Kuwait,2017,6.093905449,11.09027195,0.853491306,66.5,0.884181619,-0.039013941,,0.692071915,0.307320803,,-0.323726535,-0.11457786,2.355753183,0.386575282
Bahrain,2014,6.165133953,10.688241,,67.41999817,,,,,,,-1.109268665,0.491515696,2.422525406,0.392939627
Bahrain,2015,6.00737524,10.69027233,0.852550745,67.69999695,0.84952116,0.10379605,,0.715542972,0.302972108,,-1.193268418,0.485886216,2.176904917,0.362372071
Bahrain,2016,6.169673443,10.68379784,0.862700105,68.09999847,0.888691068,0.080128744,,0.787187219,0.283466339,,-1.082750559,0.342247546,2.259225607,0.366182357
Bahrain,2017,6.227320671,10.67569351,0.875747144,68.5,0.905858517,0.128193483,,0.813570559,0.289759517,,-1.167433977,0.226644456,2.215525627,0.355775088
Malaysia,2014,5.962921619,10.09388638,0.863067031,66.23999786,0.808384359,0.225337282,0.844815433,0.769534349,0.260893494,0.631384254,-0.046841979,0.738075614,2.210197926,0.370656878
Malaysia,2015,6.322121143,10.12669563,0.817616284,66.40000153,0.674594462,0.208450198,0.837892234,0.774716198,0.313732743,0.436821789,-0.066252634,0.609710813,2.021918297,0.31981644
Malaysia,2018,5.338817596,10.23550415,0.789408565,67,0.874548256,0.112881355,0.894131124,0.824454665,0.200366735,0.732398391,,,1.642822981,0.307712883
Syria,2015,3.46191287,,0.463912874,55.20000076,0.448270857,,0.685236931,0.369439602,0.642588735,,-2.448227882,-1.54867959,2.812082291,0.812291443
Uzbekistan,2014,6.049212456,8.588744164,0.952406049,64,0.954481184,0.057863686,0.536461055,0.804544687,0.106158175,,-1.093180299,-1.16349411,2.071448565,0.342432767
Uzbekistan,2015,5.972364426,8.648262978,0.968225241,64.19999695,0.979937136,0.370652735,0.470916927,0.839980543,0.103493795,0.973944485,-1.164533854,-1.17184186,2.231985807,0.373718947
Uzbekistan,2016,5.892539024,8.705982208,0.945102155,64.5,0.983803034,0.202860773,,0.841676295,0.146897659,0.978045106,-1.079696417,-1.117844224,2.330657482,0.395526856
Uzbekistan,2017,6.421447754,8.740833282,0.942131102,64.80000305,0.985177755,0.116510667,0.464641601,0.838989079,0.202737495,0.964690447,-1.037155151,-1.02081418,2.367688894,0.368715733
Uzbekistan,2018,6.205460072,8.773365021,0.920821011,65.09999847,0.969897985,0.311694622,0.520360112,0.825421572,0.208660305,0.969356358,,,2.426437855,0.391016603
Yemen,2014,3.967957973,8.233982086,0.638252258,54.29999924,0.66390872,-0.173103333,0.885429204,0.610584974,0.275673747,0.344929039,-1.983291149,-1.264090896,2.438402653,0.614523292
Yemen,2015,2.982673883,7.744412422,0.668683469,54.29999924,0.609980762,-0.13721621,0.829097569,0.507435262,0.321357071,0.263296992,-2.101796627,-1.374387264,2.194033861,0.735592961
Yemen,2016,3.825630903,7.299221039,0.775407016,55.09999847,0.532964051,-0.1256679,,0.469345391,0.227924526,0.267581195,-2.243388653,-1.654798388,2.105525494,0.550373375
Yemen,2017,3.253560066,,0.789555013,55.90000153,0.595190763,,,0.455181897,0.295063585,0.247786984,-2.326561928,-1.678789258,2.178544044,0.669587791
Yemen,2018,3.057513952,,0.789421916,56.70000076,0.55272609,,0.792586863,0.461113781,0.31486994,0.308151186,,,2.40200758,0.785608053
Japan,2014,5.922620773,10.52774811,0.900040329,74.51999664,0.838051736,-0.150382042,0.617483139,0.741508007,0.18943283,0.37951529,1.002343178,1.562861204,1.893250585,0.319664329
Japan,2015,5.879684448,10.54225731,0.922657192,74.69999695,0.831694186,-0.166381299,0.654443085,0.768090606,0.176408634,0.352867216,1.02655673,1.522612214,1.80760932,0.307433039
Japan,2016,5.954650879,10.55274868,0.899773836,74.80000305,0.836064637,-0.073620148,0.697639346,0.76010859,0.192402646,0.362200648,0.985401094,1.549104095,1.898952603,0.318902433
Japan,2017,5.910676479,10.57137394,0.881961286,74.90000153,0.849396586,-0.217277035,0.659198642,0.740387619,0.17551218,0.412489951,1.064277649,1.519917488,1.950256944,0.329954952
Japan,2018,5.793575287,10.58161831,0.886431932,75,0.77347213,-0.272972286,0.686784506,0.703355014,0.185300156,0.384880394,,,1.916025519,0.330715567
South Korea,2014,5.801325321,10.41707993,0.737754107,72.44000244,0.623193622,-0.047908776,0.834068358,0.652948856,0.282807708,0.284103513,0.394397378,0.954131842,2.224407673,0.383430958
South Korea,2015,5.780211449,10.43932724,0.768350601,72.69999695,0.61584878,-0.040622089,0.840721607,0.649948239,0.244323716,0.264757395,0.395990372,0.858003259,2.111929178,0.3653723
South Korea,2016,5.970564365,10.46368599,0.811163485,73,0.590956032,0.021303769,0.861816347,0.676223397,0.232732683,0.237081572,0.402079344,0.95147717,2.129230738,0.356621355
South Korea,2017,5.873887062,10.48956108,0.806929946,73.30000305,0.538113713,0.009390867,0.850690424,0.623377562,0.234825626,0.358582199,0.514762044,0.957986534,2.075729609,0.353382617
South Korea,2018,5.840231419,10.51157761,0.79772383,73.59999847,0.600161672,-0.093965843,0.796825886,0.66120857,0.217145726,0.389084011,,,2.043847322,0.349959999
